name,syd_n_de_dossier_cegid,syd_naf,syd_forme_juridique_sirene,syd_activite,syd_premiere_date_de_signature,syd_total_salaries,accountid,naf_officiel,activite_differe
ENTREPRISE DAVID,13029,4399C,,Travaux de maçonnerie générale et gros oeuvre de bâtiment,2024-04-18,5,B3088FEB-ABD4-EE11-904D-000D3ADF74F0,Travaux de maçonnerie générale et gros œuvre de bâtiment,True
CLOTILDE PERRON,12967,5520Z,,Location de gîtes,2024-02-16,0,A2E59E57-B4C5-EE11-9079-000D3ADF74F0,Hébergement touristique et autre hébergement de courte durée ,True
NOLAN SOUAKRI,12982,9602A,,Barbier Coiffeur,2024-03-14,0,891DC71A-6ACA-EE11-9079-000D3ADF74F0,Coiffure,True
CONTANT pierre,13005,8621Z,,Médecin,2024-03-28,0,ABB11FE6-ECCF-EE11-9079-000D3ADF74F0,Activité des médecins généralistes,True
VALOR TALENT,13011,7810Z,,Cabinet de recrutement ingénierie industrie,2024-03-14,0,487B5DFB-C8D0-EE11-9079-000D3ADF74F0,Activités des agences de placement de main-d'œuvre ,True
Whosound,11435,5920Z,SASU,Enregistrement sonore et édition musicale,2023-09-05,0,C2BAA1EC-3E6A-ED11-9561-000D3ADF74F0,Enregistrement sonore et édition musicale ,True
ENDORS TOI RECORDS,11441,5920Z,SAS,Enregistrement sonore et édition musicale,2023-09-05,0,1BBD4C94-6A6A-ED11-9561-000D3ADF74F0,Enregistrement sonore et édition musicale ,True
WEST ID,12350,6202B,,Tierce maintenance de systèmes et d'applications informatiques,2023-08-31,5,AB9BBCDE-0226-EE11-9965-000D3ADF74F0,Tierce maintenance de systèmes et d’applications informatiques,True
SPORT INNOV'A,12352,9319Z,,"Activités sportives, récréatives et de loisirs",2024-07-04,0,75722E95-1126-EE11-9965-000D3ADF74F0,Autres activités liées au sport,True
YAQEM PRODUCTIONS,12337,5911A,,Production de films et de programmes pour la télévision,2023-08-21,0,CFD5196E-7821-EE11-9966-000D3ADF74F0,Production de films et de programmes pour la télévision ,True
B.A.D. AUDIO,12341,5920Z,,Enregistrement sonore et édition musicale,2023-09-05,0,1A12C759-7D21-EE11-9966-000D3ADF74F0,Enregistrement sonore et édition musicale ,True
LE CHAPITRE,12647,5630Z,,Bar Restaurant Cave,2023-12-22,3,AE8510C8-1968-EE11-9AE7-000D3ADF74F0,Débits de boissons,True
GAUTIER STEPHANE,12649,6820A,,,2023-11-02,0,ACB6BD04-0769-EE11-9AE7-000D3ADF74F0,Location de logements,True
EMMANUELLE BEAUCAMP,11314,6820A,LMNP,Locations de logements,2022-10-25,0,50C243E5-B83F-ED11-9DB0-000D3ADF74F0,Location de logements,True
SINEWAVE,11287,5920Z,SASU,Enregistrement sonore et édition musicale,2022-11-27,0,02F960EA-2538-ED11-9DB1-000D3ADF74F0,Enregistrement sonore et édition musicale ,True
TA BOULANGERIE,12882,1071C,,BOULANGERIE PATISSERIE,2024-05-17,2,ABA93919-89AF-EE11-A569-000D3ADF74F0,Boulangerie et boulangerie-pâtisserie,True
M&B DESIGN,12932,9002Z,,"Prestations de création lumière, scénographie, vidéo et sonore",2024-02-23,0,F159EBD2-D5B9-EE11-A569-000D3ADF74F0,Activités de soutien au spectacle vivant,True
FURAX,12043,9001Z,,Art du spectacle vivant,2023-12-01,5,F6F495B7-78E2-ED11-A7C7-000D3ADF74F0,Arts du spectacle vivant,True
NARUSEVICIUS,12045,NAN,,Multi services - petits entretiens,2023-05-09,0,B2414E84-B9E2-ED11-A7C7-000D3ADF74F0,,True
SOPHIE HUET,12055,4726Z,,Commerce de détail de produits à base de tabac,2023-07-07,1,4E6A306E-34E4-ED11-A7C7-000D3ADF74F0,Commerce de détail de produits à base de tabac en magasin spécialisé,True
LIVET MARGAUX,12056,8690E,,"Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues",2023-05-09,0,F83413A6-09E5-ED11-A7C7-000D3ADF74F0,"Activités des professionnels de la rééducation, de l’appareillage et des pédicures-podologues",True
VIVET,11666,4722Z,,Commerce de détail de viandes et de produits à base de viande,2023-03-13,1,5E21302B-909C-ED11-AAD1-000D3ADF74F0,Commerce de détail de viandes et de produits à base de viande en magasin spécialisé,True
BOISARD Marie,11344,8690E,EI,"Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues",2022-11-07,0,B5F78EE3-5349-ED11-BBA2-000D3ADF74F0,"Activités des professionnels de la rééducation, de l’appareillage et des pédicures-podologues",True
TEK MAT,12448,4663Z,,Commerce de gros (commerce interentreprises) de machines,2023-12-13,1,4FEDEE75-6242-EE11-BDF3-000D3ADF74F0,"Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil ",True
MADDIE,12381,6820B,,Location de terrain et d'autres biens immobiliers,2023-08-21,0,C5105A6B-912B-EE11-BDF4-000D3ADF74F0,Location de terrains et d'autres biens immobiliers,True
RASMOT,12823,NAN,,Restauration traditionnelle,2024-12-06,0,E78CEB75-5894-EE11-BE37-000D3ADF74F0,,True
GS CLIMATECH,12856,4322,,Plomberie chauffagiste,2024-02-09,0,822B11F1-199F-EE11-BE37-000D3ADF74F0,Travaux de plomberie et installation de chauffage et de conditionnement d'air,True
WELYGHA Consulting,12861,7112B,,Services et Conseils Numériques,2024-02-29,0,30C38B3C-11A0-EE11-BE37-000D3ADF74F0,"Ingénierie, études techniques",True
AG CARROSSERIE,12866,4520A,,Carrosserie automobile,2024-05-13,3,727C839F-C3AB-EE11-BE37-000D3ADF74F0,Entretien et réparation de véhicules automobiles légers,True
